county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
Autauga,AL,1001,651,56145,1159.5,2020,NA
Baldwin,AL,1003,2691,229287,1173.6,2020,NA
Barbour,AL,1005,378,24589,1537.3,2020,NA
Bibb,AL,1007,297,22136,1341.7,2020,NA
Blount,AL,1009,849,57879,1466.9,2020,NA
Bullock,AL,1011,149,9976,1493.6,2020,NA
Butler,AL,1013,312,19504,1599.7,2020,NA
Calhoun,AL,1015,1784,113469,1572.2,2020,NA
Chambers,AL,1017,597,32865,1816.5,2020,NA
Cherokee,AL,1019,460,26294,1749.4,2020,NA
Chilton,AL,1021,630,44397,1419.0,2020,NA
Choctaw,AL,1023,188,12418,1513.9,2020,NA
Clarke,AL,1025,436,23291,1872.0,2020,NA
Clay,AL,1027,251,13112,1914.3,2020,NA
Cleburne,AL,1029,235,14967,1570.1,2020,NA
Coffee,AL,1031,707,53230,1328.2,2020,NA
Colbert,AL,1033,817,55411,1474.4,2020,NA
Conecuh,AL,1035,219,11851,1847.9,2020,NA
Coosa,AL,1037,175,10650,1643.2,2020,NA
Covington,AL,1039,680,36930,1841.3,2020,NA
Crenshaw,AL,1041,249,13681,1820.0,2020,NA
Cullman,AL,1043,1259,84515,1489.7,2020,NA
Dale,AL,1045,635,48959,1297.0,2020,NA
Dallas,AL,1047,632,36098,1750.8,2020,NA
DeKalb,AL,1049,1024,71658,1429.0,2020,NA
Elmore,AL,1051,1014,82158,1234.2,2020,NA
Escambia,AL,1053,602,36281,1659.3,2020,NA
Etowah,AL,1055,1687,102371,1647.9,2020,NA
Fayette,AL,1057,269,16241,1656.3,2020,NA
Franklin,AL,1059,461,31507,1463.2,2020,NA
Geneva,AL,1061,467,26411,1768.2,2020,NA
Greene,AL,1063,161,7990,2015.0,2020,NA
Hale,AL,1065,252,14670,1717.8,2020,NA
Henry,AL,1067,267,17223,1550.3,2020,NA
Houston,AL,1069,1427,106580,1338.9,2020,NA
Jackson,AL,1071,897,51582,1739.0,2020,NA
Jefferson,AL,1073,8508,655342,1298.3,2020,NA
Lamar,AL,1075,249,13764,1809.1,2020,NA
Lauderdale,AL,1077,1335,93368,1429.8,2020,NA
Lawrence,AL,1079,526,32857,1600.9,2020,NA
