county_name,state,county_code,deaths,population,crude_rate
Autauga,AL,1001,651,56145,1159.5
Baldwin,AL,1003,2691,229287,1173.6
Barbour,AL,1005,378,24589,1537.3
Bibb,AL,1007,297,22136,1341.7
Blount,AL,1009,849,57879,1466.9
Bullock,AL,1011,149,9976,1493.6
Butler,AL,1013,312,19504,1599.7
Calhoun,AL,1015,1784,113469,1572.2
Chambers,AL,1017,597,32865,1816.5
Cherokee,AL,1019,460,26294,1749.4
Chilton,AL,1021,630,44397,1419.0
Choctaw,AL,1023,188,12418,1513.9
Clarke,AL,1025,436,23291,1872.0
Clay,AL,1027,251,13112,1914.3
Cleburne,AL,1029,235,14967,1570.1
Coffee,AL,1031,707,53230,1328.2
Colbert,AL,1033,817,55411,1474.4
Conecuh,AL,1035,219,11851,1847.9
Coosa,AL,1037,175,10650,1643.2
Covington,AL,1039,680,36930,1841.3
Crenshaw,AL,1041,249,13681,1820.0
Cullman,AL,1043,1259,84515,1489.7
Dale,AL,1045,635,48959,1297.0
Dallas,AL,1047,632,36098,1750.8
DeKalb,AL,1049,1024,71658,1429.0
Elmore,AL,1051,1014,82158,1234.2
Escambia,AL,1053,602,36281,1659.3
Etowah,AL,1055,1687,102371,1647.9
Fayette,AL,1057,269,16241,1656.3
Franklin,AL,1059,461,31507,1463.2
Geneva,AL,1061,467,26411,1768.2
Greene,AL,1063,161,7990,2015.0
Hale,AL,1065,252,14670,1717.8
Henry,AL,1067,267,17223,1550.3
Houston,AL,1069,1427,106580,1338.9
Jackson,AL,1071,897,51582,1739.0
Jefferson,AL,1073,8508,655342,1298.3
Lamar,AL,1075,249,13764,1809.1
Lauderdale,AL,1077,1335,93368,1429.8
Lawrence,AL,1079,526,32857,1600.9
Lee,AL,1081,1307,166831,783.4
Limestone,AL,1083,1085,102228,1061.4
Lowndes,AL,1085,178,9641,1846.3
Macon,AL,1087,319,17895,1782.6
Madison,AL,1089,3763,379453,991.7
Marengo,AL,1091,333,18733,1777.6
Marion,AL,1093,533,29703,1794.4
